Rxn,Rxn_Name,Rule,Pathway,Formula
biomass_maintenance_noTrTr,"Biomass maintenance reaction without replication, transcription, and translation precursors",,"Exchange/demand reaction","20.6508 Water + 20.7045 Adenosine Triphosphate + 0.023315 1-Phosphatidyl-1D-Myo-Inositol + 0.15446 Phosphatidylcholine + 0.055374 Phosphatidylethanolamine + 0.020401 Cholesterol + 0.002914 Phosphatidylglycerol + 0.011658 Cardiolipin + 0.27519 D-Glucose 6-Phosphate + 0.005829 Phosphatidylserine + 0.017486 Sphingomyelin   -> 20.6508 Proton + 20.6508 Adenosine Diphosphate + 20.6508 Orthophosphate "
15KPROSTGF2c,"Formation of 15-Keto-Prostaglandin F2A",HPGD,"Eicosanoid metabolism","Nicotinamide Adenine Dinucleotide + Prostaglandin F2Alpha  <=> Proton + Nicotinamide Adenine Dinucleotide - Reduced + 15-Keto-Prostaglandin F2A "
ADPOHc,"Hydroxylation of 2-Oxoadipate",,"Lysine metabolism","Proton + Nicotinamide Adenine Dinucleotide - Reduced + 2-Oxoadipate  <=> Nicotinamide Adenine Dinucleotide + 2-Hydroxyadipic Acid "
PHLAC,"Formation of Phenyl-Lactate",,"Phenylalanine metabolism","Nicotinamide Adenine Dinucleotide + Phenyllactate  <=> Proton + Nicotinamide Adenine Dinucleotide - Reduced + Keto-Phenylpyruvate "
AND19ONEc,"Hydroxylation of Androst-4-Ene-3, 17-Dione",CYP2D6,"Steroid metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Androst-4-Ene-3,17-Dione  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + 19-Hydroxyandrost-4-Ene-3,17-Dione "
C14825c,"Formation of 9 (10)-Epome",CYP2D6,"Fatty acid oxidation","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Linoleate  -> Water + Nicotinamide Adenine Dinucleotide Phosphate +  9,10-Epoxyoctadecenoic acid (9(10)-EpOME) "
DESAT14_9,"Desaturation of Myristic Acid to 9-Tetradecenoic Acid",FADS2,"Fatty acid synthesis","Oxygen + Proton + Nicotinamide Adenine Dinucleotide - Reduced + Myristoyl Coenzyme A  -> 2 Water + Nicotinamide Adenine Dinucleotide + Tetradecenoyl Coenzyme A (N-C14:1) "
21HPRGNLONE,"Formation of 21-Hydroxypregnenolone",CYP21A2,"Steroid metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Pregnenolone  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + 21-Hydroxypregnenolone "
3MHISc,"Formation of Methyl-Histidine",,"Histidine metabolism","S-Adenosyl-L-Methionine + L-Histidine  <=> Proton + S-Adenosyl-L-Homocysteine + 3-Methylhistidine "
HMCRNc,"Formation of Homocitrulline",,"Lysine metabolism","L-Lysine + Carbamoyl Phosphate  <=> Proton + Orthophosphate + Homocitrulline "
PHACGLYc,"Glycine N-Acyltransferase, Phenylacetate",,"Valine, leucine, and isoleucine metabolism","Glycine + Phenylacetyl Coenzyme A  -> Proton + Coenzyme A + Phenylacetylglycine "
LCAT10e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Myristoylglycerophosphocholine "
LCAT11e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphocholine (Delta 9)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Oleoylglycerophosphocholine (Delta 9) "
LCAT12e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Oleoylglycerophosphoethanolamine (Delta 9) "
LCAT13e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Palmitoleoylglycerophosphocholine (Delta 9) "
LCAT14e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Palmitoylglycerophosphocholine "
LCAT54e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoethanolamine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Palmitoylglycerophosphoethanolamine "
LCAT55e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoinositol",LCAT,"Cholesterol metabolism","Cholesterol + 1-Phosphatidyl-1D-Myo-Inositol  -> Cholesterol Ester + 1-Palmitoylglycerophosphoinositol "
LCAT15e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Stearoylglycerophosphocholine "
LCAT16e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoethanolamine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Stearoylglycerophosphoethanolamine "
LCAT17e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoinositol",LCAT,"Cholesterol metabolism","Cholesterol + 1-Phosphatidyl-1D-Myo-Inositol  -> Cholesterol Ester + 1-Stearoylglycerophosphoinositol "
LCAT18e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 2-Linoleoylglycerophosphocholine "
LCAT19e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphoethanolamine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 2-Linoleoylglycerophosphoethanolamine "
LCAT20e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Oleoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 2-Oleoylglycerophosphocholine "
LCAT21e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Palmitoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 2-Palmitoylglycerophosphocholine "
LCAT22e,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Stearoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 2-Stearoylglycerophosphocholine "
LCAT23e,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:3)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> 1-Acyl-Sn-Glycero-3-Phosphocholine + 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12) "
LCAT25e,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:1)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> 1-Acyl-Sn-Glycero-3-Phosphocholine + 1-Vaccenoyl-Cholesterol, Cholesterol-Ester (18:1, Delta 11) "
LCAT27e,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (20:4)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> 1-Acyl-Sn-Glycero-3-Phosphocholine + Cholesteryl Arachidonate, Cholesterol-Ester (20:4, Delta 5,8,11,14) "
LCAT29e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0) "
LCAT2e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Arachidonoyl-Glycero-3-Phosphocholine "
LCAT30e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15) "
LCAT31e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine (Delta 6, 9, 12)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12) "
LCAT32e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-NoNADecanoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Nonadecanoylglycerophosphocholine, Sn1-Lpc (19:0) "
LCAT33e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosenoylglycerophosphocholine (Delta 11)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1) "
LCAT34e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4) "
LCAT35e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5) "
LCAT36e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4) "
LCAT37e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3 "
LCAT38e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6 "
LCAT39e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6) "
LCAT3e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoethanolamine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine "
LCAT40e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3) "
LCAT41e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19), Lpe (22:6) "
LCAT42e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16) "
LCAT43e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14) "
LCAT44e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe) "
LCAT45e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphoethanolamine (C14:0 Pe)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Myristoylglycerophosphoethanolamine (C14:0 Pe) "
LCAT56e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9) "
LCAT46e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe) "
LCAT47e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe) "
LCAT48e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe) "
LCAT49e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3 "
LCAT4e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoinositol",LCAT,"Cholesterol metabolism","Cholesterol + 1-Phosphatidyl-1D-Myo-Inositol  -> Cholesterol Ester + 1-Arachidonoylglycerophosphoinositol "
LCAT50e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-1-Lignocericylglycerophosphocholine (24:0)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24 "
LCAT51e,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C26:1 (Delta 5)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + Lysopc A C26:1 (Delta 5) "
LCAT52e,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:1 (Delta 5)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + Lysopc A C28:1 (Delta 5) "
LCAT53e,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:0",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + Lysopc A C28:0 "
LCAT57e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexaenoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Docosahexaenoylglycerophosphocholine "
LCAT5e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Eicosadienoylglycerophosphocholine (Delta 11,14) "
LCAT6e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17) "
LCAT7e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphocholine",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Heptadecanoylglycerophosphocholine "
LCAT8e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphocholine (Delta 9, 12)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylcholine  -> Cholesterol Ester + 1-Linoleoylglycerophosphocholine (Delta 9,12) "
LCAT9e,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12)",LCAT,"Cholesterol metabolism","Cholesterol + Phosphatidylethanolamine  -> Cholesterol Ester + 1-Linoleoylglycerophosphoethanolamine (Delta 9,12) "
SMS1,"Sphingomyelin Synthase, Formation of Sm (D18:1/14:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/14:0), Sphingomyelin "
SMS10,"Sphingomyelin Synthase, Formation of Sm (D18:1/21:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/21:0), Sphingomyelin "
SMS11,"Sphingomyelin Synthase, Formation of Sm (D18:1/22:1)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/22:1), Sphingomyelin "
SMS12,"Sphingomyelin Synthase, Formation of Sm (D18:1/22:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/22:0), Sphingomyelin "
SMS16,"Sphingomyelin Synthase, Formation of Sm (D18:1/23:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/23:0), Sphingomyelin "
SMS13,"Sphingomyelin Synthase, Formation of Sm (D18:0/24:1)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:0/24:1), Sphingomyelin "
SMS14,"Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:0/24:0), Sphingomyelin "
SMS15,"Sphingomyelin Synthase, Formation of Sm (D18:0/24:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:0/25:0), Sphingomyelin "
SMS2,"Sphingomyelin Synthase, Formation of Sm (D18:1/15:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/15:0), Sphingomyelin "
SMS3,"Sphingomyelin Synthase, Formation of Sm (D18:1/16:1)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/16:1), Sphingomyelin "
SMS4,"Sphingomyelin Synthase, Formation of Sm (D18:1/16:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/16:0), Sphingomyelin "
SMS5,"Sphingomyelin Synthase, Formation of Sm (D18:1/17:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/17:0), Sphingomyelin "
SMS6,"Sphingomyelin Synthase, Formation of Sm (D18:1/18:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/18:0), Sphingomyelin "
SMS7,"Sphingomyelin Synthase, Formation of Sm (D18:1/18:1)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/18:1), Sphingomyelin "
SMS8,"Sphingomyelin Synthase, Formation of Sm (D18:1/20:1)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/20:1), Sphingomyelin "
SMS9,"Sphingomyelin Synthase, Formation of Sm (D18:1/20:0)",SGMS1 | SGMS2,"Glycerophospholipid metabolism","Phosphatidylcholine + N-Acylsphingosine  -> Diglyceride + Sm (D18:1/20:0), Sphingomyelin "
XOLEST183CEH,"Hydrolysis of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",LIPA | CEL,"Cholesterol metabolism","Water + 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)  -> Proton + Cholesterol + Gamma-Linolenate "
XOLEST182CEH,"Hydrolysis of 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",LIPA | CEL,"Cholesterol metabolism","Water + 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)  -> Proton + Cholesterol + Linoleate "
XOLEST205CEH,"Hydrolysis of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)",LIPA | CEL,"Cholesterol metabolism","Water + 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5,8,11,14,17)  -> Proton + Cholesterol + Timnodonic Acid C20:5, N-3 "
XOLEST226CEH,"Hydrolysis of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)",LIPA | CEL,"Cholesterol metabolism","Water + Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4,7,10,13,16,19)  -> Proton + Cholesterol + Cervonic Acid, C22:6 N-3 "
MAGLINL_HSe,"Lipase, Extracellular, Formation of 1-Linoleoylglycerol",LPL | CEL,"Glycerophospholipid metabolism","Water + Diglyceride  -> Proton + R Total + 1-Linoleoylglycerol "
MAGOLE_HSe,"Lipase, Extracellular, Formation of 1-Oleoylglycerol",LPL | CEL,"Glycerophospholipid metabolism","Water + Diglyceride  -> Proton + R Total + 1-Oleoylglycerol "
LPS5e,"Lipase, Extracellular, Formation of 1-Palmitoylglycerol",LPL | CEL,"Glycerophospholipid metabolism","Water + Diglyceride  -> Proton + R Total + 1-Palmitoylglycerol "
LPS6e,"Lipase, Extracellular, Formation of 1-Stearoylglycerol",LPL | CEL,"Glycerophospholipid metabolism","Water + Diglyceride  -> Proton + R Total + 1-Stearoylglycerol "
LPS7e,"Lipase, Extracellular, Formation of 1-Linoleoylglycerol",LPL | CEL,"Glycerophospholipid metabolism","Water + Diglyceride  -> Proton + R Total + 1-Arachidonoyl Glycerol "
PCHOLMYR_HSPLA2,"Formation of 1-Myristoylglycerophosphocholine by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylcholine  -> Proton + R Total 2 Position + 1-Myristoylglycerophosphocholine "
PCHOLOLE_HSPLA2,"Formation of 1-Oleoylglycerophosphocholine (Delta 9) by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylcholine  -> Proton + R Total 2 Position + 1-Oleoylglycerophosphocholine (Delta 9) "
PEOLE_HSPLA2,"Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9) by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylethanolamine  -> Proton + R Total 2 Position + 1-Oleoylglycerophosphoethanolamine (Delta 9) "
PCHOLPALME_HSPLA2,"Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9) by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylcholine  -> Proton + R Total 2 Position + 1-Palmitoleoylglycerophosphocholine (Delta 9) "
PCHOLPALM_HSPLA2,"Formation of 1-Palmitoylglycerophosphocholine by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylcholine  -> Proton + R Total 2 Position + 1-Palmitoylglycerophosphocholine "
PEPALM_HSPLA2,"Formation of 1-Palmitoylglycerophosphoethanolamine by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylethanolamine  -> Proton + R Total 2 Position + 1-Palmitoylglycerophosphoethanolamine "
PAILPALM_HSPLA2,"Formation of 1-Palmitoylglycerophosphoinositol by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + 1-Phosphatidyl-1D-Myo-Inositol  -> Proton + R Total 2 Position + 1-Palmitoylglycerophosphoinositol "
PCHOLSTE_HSPLA2,"Formation of 1-Stearoylglycerophosphocholine by Phospholipase A2",PLA2G6 | PLA2G2A | PLA2G6 | PLA2G3 | PLA2G4A | PLA2G12A | PLA2G5 | PLA2G2F | PLA2G4B | PLA2G4E,"Glycerophospholipid metabolism","Water + Phosphatidylcholine  -> Proton + R Total 2 Position + 1-Stearoylglycerophosphocholine "
